Gradient,Site,Name,Number_name,MAP,MAT,AI,Soil_Temp,Water_activity,Water_content,SOM_perc,SOM,pH,TOC_perc,TC_perc,TN_perc,TOC,TC,TN,C_N,NH4,PO43,SO42,Sand_perc,Silt_perc,Clay_perc,Sand,Silt,Clay,Litter,L_TC_perc,L_TN_perc,L_TC,L_TN,CO2_dark,CO2_light,CH4_ave,N2O,BB_2,BB,FB,chla,chlb,carotene,EPS,alpha,beta,xyl,cbh,gla,fos,leu,phe,16S,ITS2,mcrA,pmoA,nifH,AOA,AOB,qnorB,nosZ,phoD,Respiration,BB_BF,16S_ITS2,BB_16S,FB_ITS2,chla_chlb,carotene_chla,EPS_chla,EPS_BB,EPS_16S,ShannonEEA,TOC_TN,altitude,landcover_n,landcover
SP,SP08,G-SP8-d,129-SP08-D,1361.6559,12.1779,1.3318,15.6500,0.990,37.11,12.95,0.1295,3.5500,6.5520,6.5520,0.4220,0.0655,0.0655,0.0042,15.5261,14.39,26.94,22.57,43.75,42.45,13.8,0.4375,0.4245,0.138,391.78,0.99,49.09,0.0099,0.4909,951.0259,1005.27,-45.9600,-16.4100,3.27E+08,7.20E-03,0.6640,0.1084,0.1129,0.1260,152.4469,0.0066,0.0430,0.0307,0.0037,0.4808,1.4181,0.0217,4.4391,2.83E+10,1.65E+09,1.46E+06,1.43E+09,6.00E+07,7.15E+06,2.23E+06,5.23E+08,7.84E+07,7.32E+08,0.03327663,0.0108,1.72E+01,2.54E-13,4.02E-10,0.9595,1.1630,1406.7488,21.1689,5.39E-09,1.25401,15.52606635,450,5,Mixed Forests
SP,SP08,G-SP8-e,130-SP08-E,1361.6559,12.1779,1.3318,15.3750,0.991,29.52,8.57,0.0857,3.7400,3.9390,3.9390,0.2710,0.0394,0.0394,0.0027,14.5351,16.08,24.69,30.85,43.75,42.45,13.8,0.4375,0.4245,0.138,606.08,1.09,49.59,0.0109,0.4959,617.8429,534.34,-87.1200,10.4100,3.41E+08,7.50E-03,,0.1302,0.1116,0.1255,126.4689,0.0010,0.0071,0.0052,0.0015,0.0335,0.7080,0.0756,0.9812,2.85E+10,1.03E+09,1.97E+06,1.76E+09,6.52E+07,9.19E+05,2.14E+06,6.65E+08,7.76E+07,7.93E+08,,,2.77E+01,2.63E-13,,1.1668,0.9640,971.4494,16.8607,4.44E-09,1.36468,14.53505535,450,5,Mixed Forests
SP,SP09,G-SP9-a,131-SP09-A,314.2399,17.0955,0.1846,30.9250,0.718,2.14,2.78,0.0278,7.5300,0.9360,9.1150,0.0930,0.0094,0.0912,0.0009,98.0108,73.75,6.51,19.82,51.05,30.5,18.45,0.5105,0.305,0.1845,2.63,0.58,46.77,0.0058,0.4677,71.5290,82.69,-28.2000,4.1600,8.38E+07,1.84E-03,0.2056,0.0886,0.1256,0.1821,59.4586,0.0055,0.0079,0.0028,0.0000,0.0034,0.0455,0.0316,4.8705,5.92E+09,1.87E+08,1.67E+05,1.91E+08,8.89E+06,6.10E+07,9.15E+05,1.06E+08,7.32E+06,1.09E+09,0.00260852,0.0090,3.17E+01,3.11E-13,1.10E-09,0.7060,2.0550,670.8237,32.2682,1.00E-08,0.17576,10.06451613,195,9,Savannas
SP,SP09,G-SP9-b,132-SP09-B,314.2399,17.0955,0.1846,30.9750,0.756,3.41,3.54,0.0354,7.6400,1.3890,7.0250,0.1330,0.0139,0.0703,0.0013,52.8195,5.25,6.03,22.11,51.05,30.5,18.45,0.5105,0.305,0.1845,89.75,0.42,46.74,0.0042,0.4674,130.4432,97.78,-34.2000,-4.8800,7.15E+07,1.57E-03,0.3541,0.0948,0.1429,0.1988,67.3746,0.0078,0.0209,0.0080,0.0002,0.0040,0.0810,0.0793,6.5391,2.59E+07,1.31E+06,,2.39E+06,7.45E+04,4.92E+05,7.72E+03,1.19E+06,1.28E+05,1.24E+07,0.00418969,0.0044,1.98E+01,6.07E-11,2.70E-07,0.6633,2.0976,711.0001,42.8333,2.60E-06,0.25049,10.44360902,195,9,Savannas
SP,SP09,G-SP9-c,133-SP09-C,314.2399,17.0955,0.1846,29.6250,0.840,3.14,4.10,0.0410,7.5300,1.5790,9.4770,0.1580,0.0158,0.0948,0.0016,59.9810,4.67,7.85,18.77,51.05,30.5,18.45,0.5105,0.305,0.1845,563.45,0.97,47.59,0.0097,0.4759,146.5179,126.75,-50.2800,0.0900,9.36E+07,2.06E-03,0.5558,0.1033,0.1223,0.1757,27.4153,0.0130,0.0282,0.0417,0.0111,0.0065,0.1013,0.3472,3.1594,2.92E+09,1.16E+08,7.80E+04,8.63E+07,2.13E+06,1.52E+07,5.86E+05,8.55E+07,3.18E+06,4.22E+08,0.00439531,0.0037,2.52E+01,7.05E-13,4.79E-09,0.8442,1.7018,265.4738,13.3170,9.39E-09,0.85717,9.993670886,195,9,Savannas
SP,SP09,G-SP9-d,134-SP09-D,314.2399,17.0955,0.1846,33.2750,0.895,3.10,2.46,0.0246,7.6500,1.1780,8.8300,0.1080,0.0118,0.0883,0.0011,81.7593,3.80,5.96,18.18,51.05,30.5,18.45,0.5105,0.305,0.1845,49.88,0.60,46.20,0.0060,0.4620,54.3239,66.94,-41.4000,-3.4100,4.39E+07,9.66E-04,0.1747,0.0587,0.0716,0.1208,48.8303,0.0108,0.0197,0.0360,0.0115,0.0037,0.0843,0.0370,4.3965,8.34E+08,9.63E+06,1.57E+04,1.85E+07,3.02E+05,2.44E+06,3.91E+04,6.87E+06,3.87E+05,5.24E+07,0.00103324,0.0055,8.66E+01,1.16E-12,1.81E-08,0.8196,2.0588,832.4484,50.5302,5.85E-08,0.36380,10.90740741,195,9,Savannas
SP,SP09,G-SP9-e,135-SP09-E,314.2399,17.0955,0.1846,32.8000,0.697,1.78,1.89,0.0189,7.6600,0.5650,8.9720,0.0570,0.0057,0.0897,0.0006,157.4035,4.37,3.1,14.64,51.05,30.5,18.45,0.5105,0.305,0.1845,44.75,1.02,47.33,0.0102,0.4733,31.2905,32.63,-25.8000,-1.6700,8.05E+07,1.77E-03,0.1559,0.1071,0.1674,0.1529,94.6269,0.0029,0.0069,0.0062,0.0019,0.0025,0.0447,0.0569,3.9932,1.44E+07,2.51E+05,,5.40E+05,,7.68E+03,5.64E+03,1.26E+06,5.41E+04,1.70E+06,0.00176038,0.0114,5.74E+01,1.23E-10,6.21E-07,0.6400,1.4270,883.2733,53.4203,6.57E-06,0.24761,9.912280702,195,9,Savannas
SP,SP10,G-SP10-a,136-SP10-A,304.0818,16.8649,0.1771,42.3250,0.510,0.71,1.66,0.0166,7.7200,0.4450,2.4120,0.0520,0.0045,0.0241,0.0005,46.3846,33.95,3.96,23.96,76.55,17.15,6.3,0.7655,0.1715,0.063,15.42,0.63,38.11,0.0063,0.3811,11.4685,17.56,-19.9800,-0.9400,7.23E+07,1.59E-03,0.1229,0.0357,0.0421,0.0565,40.7128,0.0170,0.0592,0.0181,0.0023,0.0052,0.0582,0.0366,2.9020,6.19E+09,4.25E+07,5.92E+04,2.60E+08,2.97E+06,2.24E+07,1.82E+05,5.15E+07,3.36E+06,8.23E+08,0.04186700,0.0129,1.46E+02,2.57E-13,2.89E-09,0.8481,1.5823,1140.8025,25.6090,6.58E-09,0.44846,8.557692308,278,10,Grasslands
SP,SP10,G-SP10-b,137-SP10-B,304.0818,16.8649,0.1771,44.0250,0.516,0.63,1.62,0.0162,7.6200,0.5080,1.6340,0.0540,0.0051,0.0163,0.0005,30.2593,44.44,4.96,16.07,76.55,17.15,6.3,0.7655,0.1715,0.063,281.82,0.49,47.28,0.0049,0.4728,42.7532,51.16,-44.6400,0.6900,8.76E+07,1.93E-03,0.1387,0.0590,0.0618,0.0632,36.3334,0.0129,0.0670,0.0095,0.0000,0.0121,0.1020,0.0611,1.6122,1.07E+09,2.28E+07,2.62E+04,5.96E+07,1.04E+06,3.78E+06,2.57E+05,2.38E+07,1.12E+06,2.70E+08,0.04680628,0.0139,4.69E+01,1.80E-12,6.08E-09,0.9546,1.0709,615.9279,18.8527,3.40E-08,0.77766,9.407407407,278,10,Grasslands
SP,SP10,G-SP10-c,138-SP10-C,304.0818,16.8649,0.1771,45.5500,0.516,0.62,1.85,0.0185,7.7600,0.4060,2.6260,0.0550,0.0041,0.0263,0.0006,47.7455,33.07,4.58,25.16,76.55,17.15,6.3,0.7655,0.1715,0.063,70.33,0.56,45.85,0.0056,0.4585,45.2012,47.75,-15.2400,1.2500,7.95E+07,1.75E-03,,0.0414,0.0435,0.0468,30.3373,0.0159,0.0316,0.0154,0.0000,0.0081,0.1014,0.0390,2.7964,1.81E+09,1.99E+07,1.28E+04,9.71E+07,3.09E+06,1.22E+07,2.46E+05,2.60E+07,2.10E+06,4.92E+08,0.03367804,,9.10E+01,9.66E-13,,0.9510,1.1308,732.6044,17.3458,1.68E-08,0.47210,7.381818182,278,10,Grasslands
SP,SP10,G-SP10-d,139-SP10-D,304.0818,16.8649,0.1771,45.4750,0.536,0.58,1.59,0.0159,7.7100,0.5020,2.0660,0.0590,0.0050,0.0207,0.0006,35.0169,32.57,3.61,20.26,76.55,17.15,6.3,0.7655,0.1715,0.063,31.78,0.48,44.85,0.0048,0.4485,19.2529,33.52,-15.0480,-4.5700,9.26E+07,2.04E-03,0.1250,0.0523,0.0745,0.0744,35.5229,0.0344,0.1104,0.0118,0.0010,0.0125,0.1068,0.0642,2.5727,3.05E+09,4.83E+07,7.57E+04,1.70E+08,2.77E+06,2.01E+07,1.25E+05,1.52E+08,2.45E+06,6.12E+08,0.04013662,0.0163,6.31E+01,6.68E-13,2.59E-09,0.7023,1.4227,679.0064,17.4392,1.16E-08,0.71400,8.508474576,278,10,Grasslands
SP,SP10,G-SP10-e,140-SP10-E,304.0818,16.8649,0.1771,48.3250,0.549,0.65,1.96,0.0196,7.6600,0.6860,2.3190,0.0580,0.0069,0.0232,0.0006,39.9828,31.21,4.03,17.76,76.55,17.15,6.3,0.7655,0.1715,0.063,43.71,0.68,44.56,0.0068,0.4456,29.9765,41.27,-24.9480,-2.8300,6.35E+07,1.40E-03,0.2584,0.0711,0.0988,0.0998,67.9965,0.0178,0.0656,0.0254,0.0044,0.0161,0.1120,0.0638,2.2218,6.08E+09,1.26E+08,1.31E+05,2.88E+08,5.14E+06,3.75E+07,1.02E+06,4.42E+08,4.90E+06,1.56E+09,0.04756858,0.0054,4.83E+01,2.30E-13,2.05E-09,0.7194,1.4037,956.7398,48.6397,1.12E-08,0.73553,11.82758621,278,10,Grasslands
SP,SP11,G-SP11-a,141-SP11-A,550.3082,14.6869,0.4008,23.4500,0.859,5.14,8.42,0.0842,7.2800,3.5010,6.7310,0.2200,0.0350,0.0673,0.0022,30.5955,38.22,20.22,26.39,60.6,19.35,20.05,0.606,0.1935,0.2005,1455.86,0.59,39.81,0.0059,0.3981,73.0634,97.98,-44.2800,-0.4200,4.67E+07,1.03E-03,1.9073,0.2093,0.1583,0.2041,138.5285,0.0122,0.0356,0.0201,0.0000,0.0248,0.2926,0.0654,1.0181,2.83E+10,1.49E+09,8.38E+05,1.32E+09,3.20E+07,1.08E+08,2.21E+07,6.79E+08,2.84E+07,1.74E+09,0.01394464,0.0005,1.90E+01,3.63E-14,1.28E-09,1.3219,0.9752,661.9686,134.9252,4.90E-09,0.98054,15.91363636,103,1,Evergreen Needleleaf Forests
SP,SP11,G-SP11-b,142-SP11-B,550.3082,14.6869,0.4008,24.8500,0.827,4.60,8.90,0.0890,7.0900,4.7660,6.9630,0.1710,0.0477,0.0696,0.0017,40.7193,35.54,16.06,24.8,60.6,19.35,20.05,0.606,0.1935,0.2005,954.86,0.63,49.10,0.0063,0.4910,119.1064,106.16,-37.8000,-1.3100,4.68E+07,1.03E-03,1.1342,0.1495,0.0948,0.2692,202.9092,0.0038,0.0186,0.0021,0.0000,0.0021,0.0897,0.0621,1.2824,2.06E+10,1.17E+09,5.10E+05,8.67E+08,2.55E+07,6.93E+07,1.37E+07,4.08E+08,2.01E+07,1.34E+09,0.01144187,0.0009,1.76E+01,5.00E-14,9.69E-10,1.5761,1.8012,1357.6743,196.9503,9.85E-09,0.49707,27.87134503,103,1,Evergreen Needleleaf Forests
SP,SP11,G-SP11-c,143-SP11-C,550.3082,14.6869,0.4008,25.1500,0.845,3.96,5.67,0.0567,7.3800,2.5150,5.3860,0.1770,0.0252,0.0539,0.0018,30.4294,36.49,15.12,22.57,60.6,19.35,20.05,0.606,0.1935,0.2005,1614.23,0.41,46.58,0.0041,0.4658,74.7580,73.57,-22.8720,14.6800,4.83E+07,1.06E-03,1.3663,0.2832,0.1855,0.2415,111.9667,0.0110,0.0259,0.0097,0.0005,0.0092,0.0732,0.0647,0.7585,2.50E+10,8.60E+08,6.84E+05,9.96E+08,2.25E+07,2.02E+08,1.68E+07,5.08E+08,2.03E+07,1.63E+09,0.01398655,0.0008,2.91E+01,4.25E-14,1.59E-09,1.5262,0.8529,395.4079,105.4607,4.48E-09,0.84699,14.20903955,103,1,Evergreen Needleleaf Forests
SP,SP11,G-SP11-d,144-SP11-D,550.3082,14.6869,0.4008,24.0250,0.893,8.05,18.78,0.1878,6.6000,6.8280,9.6030,0.2680,0.0683,0.0960,0.0027,35.8321,178.00,26.98,29.2,60.6,19.35,20.05,0.606,0.1935,0.2005,472.57,0.46,48.75,0.0046,0.4875,69.3843,67.91,-32.2800,-1.8800,6.75E+07,1.48E-03,2.3270,,,,206.7287,0.0041,0.0290,0.0144,0.0013,0.0231,0.1624,0.0362,0.9570,3.50E+10,2.20E+09,1.08E+06,1.08E+09,2.90E+07,6.94E+07,2.51E+07,5.26E+08,3.20E+07,1.69E+09,0.01924641,0.0006,1.59E+01,4.24E-14,1.06E-09,,,,139.3071,5.91E-09,0.73912,25.47761194,103,1,Evergreen Needleleaf Forests
SP,SP11,G-SP11-e,145-SP11-E,550.3082,14.6869,0.4008,24.0000,0.879,6.09,10.01,0.1001,7.1100,4.4830,5.6580,0.2030,0.0448,0.0566,0.0020,27.8719,36.05,20.58,27.76,60.6,19.35,20.05,0.606,0.1935,0.2005,641.64,0.54,48.38,0.0054,0.4838,74.6813,70.89,-16.8000,-4.4800,1.29E+08,2.84E-03,1.7667,0.7312,0.8703,0.9576,187.2733,0.0029,0.0210,0.0037,0.0000,0.0122,0.2261,0.0822,1.3741,2.64E+10,2.32E+09,6.06E+05,9.79E+08,2.34E+07,4.33E+07,2.51E+07,4.45E+08,2.32E+07,1.48E+09,0.01627383,0.0016,1.14E+01,1.08E-13,7.62E-10,0.8402,1.3095,256.1040,65.9196,7.09E-09,0.72669,22.08374384,103,1,Evergreen Needleleaf Forests
